Age,NumberOfDependents,EducationLevel,MaritalStatus,HomeOwnership,ResidencyYears,State,NumberOfDependentsUnder18,EmploymentStatus,EmploymentLengthYears,EmployerType,JobCategory,AnnualIncome,MonthlyGrossIncome,SecondaryMonthlyIncome,TotalMonthlyIncome,IncomeVerified,YearsAtCurrentEmployer,SavingsBalance,CheckingBalance,InvestmentPortfolioValue,PropertyValue,VehicleValue,TotalAssets,MortgageOutstandingBalance,AutoLoanOutstandingBalance,StudentLoanOutstandingBalance,CreditHistoryLengthMonths,NumberOfOpenAccounts,NumberOfCreditCards,TotalCreditLimit,RevolvingUtilizationRate,NumberOfLatePayments30Days,NumberOfLatePayments60Days,NumberOfLatePayments90Days,NumberOfChargeOffs,NumberOfCollections,NumberOfBankruptcies,NumberOfPublicRecords,NumberOfHardInquiries12Mo,NumberOfHardInquiries24Mo,OldestAccountAgeMonths,AverageAccountAgeMonths,NumberOfSatisfactoryAccounts,DebtToIncomeRatio,RequestedLoanAmount,LoanPurpose,RequestedTermMonths,HasCoApplicant,CollateralType,CollateralValue,LoanToIncomeRatio,MonthlyPaymentEstimate,PaymentToIncomeRatio,PreviousLoanWithBank,RiskTier,InterestRate
24,0,Bachelor,Single,Mortgage,0.7,Great Plains,0,Full-Time,3.8,Corporate,Service,114092.27,50000.0,0.0,50000.0,1,2.8,54350.23,3924.82,6413.16,,0.0,425823.14,0.0,0.0,15352.92,120.0,6,3,41786.29,0.4947,1,0,0,0,1,1.0,1.0,0.0,0,246,233,3,0.3027,2100.0,Debt Consolidation,24,0,None,0.0,0.0184,239.0,0.0048,0,4,6.94
31,1,Master,Single,Mortgage,0.8,Mid-Atlantic,1,Full-Time,6.9,Corporate,Manual,24631.14,39632.56,0.0,39632.56,1,3.5,2987.6,1011.15,,0.0,0.0,3998.75,131923.35,0.0,44956.52,353.0,8,2,37406.7,0.3923,0,0,0,1,1,1.0,1.0,0.0,0,353,192,8,0.4192,7900.0,Education,36,0,None,0.0,0.3207,555.97,0.014,0,4,11.02
47,1,Bachelor,Single,Rent,11.1,Mid-Atlantic,1,Part-Time,3.2,Corporate,Sales,21590.5,12977.4,1944.12,14921.52,0,1.2,4136.58,6756.6,0.0,,14726.21,25619.39,,10008.7,,483.0,10,5,43651.03,0.6867,2,1,1,1,0,1.0,2.0,4.0,7,524,326,6,0.2016,12500.0,Debt Consolidation,60,0,None,0.0,0.579,955.54,0.064,0,4,14.1
59,1,PhD,Widowed,Rent,4.0,Southeast,1,Retired,5.4,SME,Sales,328457.5,30685.34,2322.39,33007.73,1,1.3,50212.51,12086.57,138564.09,,25742.46,226605.63,,4431.4,,551.0,6,3,30751.78,0.0154,0,0,0,0,0,0.0,0.0,0.0,1,589,390,5,0.1786,10200.0,Business,24,0,Vehicle,11362.68,0.0311,423.58,0.0128,0,1,8.43
28,0,Bachelor,Widowed,Mortgage,7.7,Great Plains,0,Full-Time,8.3,SME,Technical,21836.25,10513.58,1425.87,11939.45,0,3.1,5821.49,431.54,,99836.77,,133692.68,0.0,,27561.3,53.0,6,2,25295.93,0.357,0,0,0,0,0,0.0,0.0,2.0,3,154,81,3,0.2886,17800.0,Medical,48,0,Property,21860.84,0.8152,1343.85,0.1126,1,2,5.25
32,0,Some College,Widowed,Rent,2.0,Pacific Coast,0,Retired,9.0,Non-Profit,Service,109392.57,31695.45,4768.93,36464.38,0,5.6,7499.32,3613.4,15372.2,,3964.56,30449.48,,,0.0,76.0,7,1,42130.76,,0,0,0,0,0,0.0,0.0,0.0,1,76,35,5,0.2218,32400.0,Personal,48,0,None,,0.2962,366.72,0.0101,1,0,7.38
36,2,Bachelor,Married,Mortgage,0.5,Alaska/Hawaii,2,Full-Time,14.2,Non-Profit,Manual,47126.44,8822.93,2812.56,11635.49,0,8.8,6168.5,10292.13,206879.98,338542.88,15665.51,577549.0,0.0,,0.0,270.0,14,8,36453.47,0.632,0,0,0,1,1,2.0,5.0,1.0,3,270,81,7,0.3377,10000.0,Home Improvement,36,0,Other,47142.84,0.2122,363.33,0.0312,1,4,14.47
40,1,Bachelor,Single,Living with Family,11.9,Pacific Coast,0,Unemployed,2.4,Self,Service,31615.44,18033.69,0.0,18033.69,1,0.6,3606.85,5092.87,,,64845.75,78216.75,,5286.82,,292.0,9,4,10829.83,0.825,2,1,1,3,1,1.0,0.0,3.0,4,292,111,9,0.1394,58300.0,Medical,60,0,None,,1.844,1824.41,0.1012,1,4,33.78
34,1,Bachelor,Married,Mortgage,5.7,Mountain West,1,Full-Time,3.8,Corporate,Management,29973.42,20411.52,,20411.52,1,1.2,2568.38,1906.33,,,,30513.13,0.0,0.0,18343.13,306.0,12,5,31936.97,0.6326,1,1,0,0,0,0.0,0.0,1.0,1,306,91,9,0.3754,11800.0,Debt Consolidation,48,0,None,,0.3937,781.36,0.0383,1,4,8.78
35,0,HS Diploma,Married,Rent,5.8,Alaska/Hawaii,0,Unemployed,1.2,SME,Technical,17245.89,9214.87,0.0,9214.87,1,0.5,1937.7,960.68,,,43210.82,46109.2,,,,396.0,10,5,36572.96,0.7358,1,1,0,0,0,0.0,0.0,2.0,2,396,206,6,0.5967,25900.0,Debt Consolidation,60,0,None,,1.5018,325.05,0.0353,0,4,7.5
32,2,HS Diploma,Married,Living with Family,2.7,Mountain West,0,Full-Time,,Non-Profit,Service,62381.94,50000.0,3180.3,53180.3,1,0.7,195772.39,6815.4,0.0,,5483.86,208071.65,0.0,0.0,0.0,511.0,14,3,103486.63,0.2772,0,0,0,0,2,1.0,0.0,3.0,6,511,223,12,0.2927,23100.0,Debt Consolidation,36,0,None,0.0,0.3703,4444.47,0.0836,0,4,4.99
39,1,No Diploma,Single,Mortgage,0.3,Southwest,0,Full-Time,2.2,Corporate,Service,35210.4,20146.75,,23256.49,1,2.2,3860.01,3104.42,,263727.65,79626.77,350318.85,116746.31,,,280.0,3,1,24111.73,0.2855,0,0,0,0,1,0.0,0.0,0.0,0,550,354,3,0.555,15200.0,Personal,24,0,None,,0.4317,744.62,0.032,0,3,5.28
48,0,Some College,Widowed,Mortgage,4.8,Mid-Atlantic,0,Full-Time,10.3,Corporate,Service,86247.8,33528.02,0.0,33528.02,1,7.2,14777.4,16541.17,0.0,142758.72,,204936.52,,0.0,,573.0,12,5,83340.34,0.3863,0,0,0,0,0,0.0,0.0,2.0,3,573,261,9,0.1168,17600.0,Home Improvement,48,1,Property,34572.76,0.2041,763.88,0.0228,0,0,6.76
44,1,Bachelor,Widowed,Mortgage,3.0,Southwest,1,Full-Time,2.1,SME,Sales,63486.83,50000.0,,50000.0,1,0.6,11110.81,2875.52,,0.0,,47353.14,0.0,19932.25,0.0,341.0,5,2,13565.04,0.2683,0,0,0,0,1,0.0,0.0,1.0,3,567,359,4,0.3313,23700.0,Home Improvement,60,0,None,,0.3733,1871.25,0.0374,0,3,8.39
61,2,Master,Divorced,Own,9.5,Southeast,1,Full-Time,17.1,Government,Service,77882.38,28316.68,2106.3,30422.98,1,6.2,8574.66,8321.45,0.0,304013.79,,353825.56,0.0,9359.15,,502.0,5,0,91235.22,0.3954,0,0,0,0,0,0.0,0.0,0.0,0,560,371,5,0.4238,15500.0,Debt Consolidation,24,0,None,,0.199,315.24,0.0104,0,0,9.19
71,2,Master,Married,Mortgage,12.1,Southwest,0,Full-Time,9.4787,Corporate,Management,233666.69,38036.39,,38036.39,1,2.3,19755.24,5282.09,,177943.95,,1216628.85,0.0,0.0,,462.0,8,4,21226.99,0.4055,0,0,0,0,0,0.0,0.0,4.0,4,515,328,8,0.3252,31800.0,Home Improvement,60,0,Vehicle,14486.37,0.1361,1013.42,0.0266,1,0,6.34
45,2,Some College,Single,Own,6.9,Alaska/Hawaii,2,Self-Employed,1.3,Self,Service,70606.89,18777.83,,18777.83,0,0.5,27894.96,5478.61,,180021.26,0.0,952110.63,0.0,0.0,,374.0,12,5,31222.08,0.4414,0,0,0,0,0,0.0,0.0,1.0,2,374,156,8,0.2584,6000.0,Business,48,1,None,0.0,0.085,593.86,0.0316,0,0,4.99
24,0,Master,Single,Mortgage,2.7,Northeast,0,Part-Time,,Corporate,Management,60185.53,17680.76,0.0,17680.76,0,2.1,40044.92,5340.79,0.0,112601.83,,177115.62,,,,217.0,7,3,,0.2686,0,0,0,0,0,0.0,1.0,2.0,2,217,189,2,0.1971,49400.0,Education,60,0,Property,10009.88,0.8208,1288.85,0.0729,0,1,7.04
21,1,HS Diploma,Divorced,Mortgage,1.0,Northwest,1,Full-Time,2.3,Self,Service,36096.48,50000.0,,50000.0,1,2.3,6445.56,1732.45,,0.0,11659.82,19837.83,52492.5,,32115.62,102.0,8,3,22094.79,0.4005,0,0,0,0,0,0.0,0.0,1.0,3,102,80,5,0.2291,14400.0,Business,60,0,None,,0.3989,804.26,0.0161,1,1,4.99
46,0,HS Diploma,Married,Own,13.4,Pacific Coast,0,Unemployed,0.8,Corporate,Technical,46800.19,20203.11,0.0,20203.11,1,0.3,1896.83,2006.36,1760.57,0.0,,21694.93,,,,487.0,8,3,22559.94,0.0137,0,0,0,0,0,0.0,0.0,0.0,0,487,294,7,0.0303,33500.0,Personal,12,0,None,,0.7158,1552.73,0.0769,0,3,8.94
26,1,Some College,Married,Mortgage,6.2,Southeast,0,Full-Time,2.6,SME,Management,48035.7,28229.51,0.0,28229.51,0,2.3,8294.73,4376.29,,193030.85,25493.58,231195.45,,,,36.0,7,3,14599.14,0.121,0,0,0,0,0,0.0,0.0,0.0,0,36,36,5,0.4112,9900.0,Debt Consolidation,48,0,Vehicle,9974.92,0.2061,1067.85,0.0378,0,0,6.13
37,2,HS Diploma,Married,Mortgage,5.8,Great Plains,1,Part-Time,3.1,SME,Technical,36718.95,32016.79,,33585.0,1,2.4,6343.83,1137.71,0.0,210589.42,0.0,218070.96,0.0,0.0,,113.0,5,1,64478.24,0.7584,2,1,1,0,0,0.0,0.0,2.0,2,217,217,3,0.2742,8700.0,Auto,60,1,None,,0.2369,822.84,0.0245,0,4,11.96
56,2,HS Diploma,Married,Living with Family,30.0,Pacific Coast,2,Full-Time,1.6,SME,Service,40119.87,6718.57,1871.62,8590.19,1,1.2,900.64,577.39,45414.75,,,55078.27,,0.0,,323.0,7,1,124415.25,0.0261,0,0,0,0,0,0.0,0.0,1.0,8,323,149,5,0.3881,4700.0,Other,48,0,None,,0.1171,553.02,0.0644,0,2,4.99
38,2,HS Diploma,Divorced,Mortgage,1.7,Southwest,1,Full-Time,1.0,SME,Management,66632.27,50000.0,480.94,50480.94,1,1.0,17933.41,3972.1,0.0,110850.87,,155085.34,0.0,0.0,,453.0,12,3,164942.05,0.8545,4,1,1,0,0,0.0,0.0,2.0,2,484,321,7,0.0291,17600.0,Education,48,0,Property,30047.31,0.2641,473.89,0.0094,0,4,12.84
37,0,Bachelor,Divorced,Rent,0.5,Northeast,0,Retired,5.2,Corporate,Manual,53714.2,30208.11,0.0,30208.11,1,3.0,116977.25,2442.79,0.0,,7905.83,127325.87,,0.0,,430.0,7,3,37085.35,0.2015,0,0,0,0,0,0.0,0.0,2.0,2,461,314,5,0.3444,66000.0,Debt Consolidation,84,0,None,,1.2287,5866.51,0.1942,0,2,5.1
50,1,Bachelor,Single,Living with Family,7.9,Southwest,1,Retired,18.9,Government,Manual,33294.21,17155.05,0.0,17155.05,1,13.6,7051.56,7953.57,0.0,,80000.0,95005.13,0.0,31638.35,,358.0,12,6,70665.03,0.3615,0,0,0,0,0,0.0,0.0,1.0,5,358,125,6,0.2773,4400.0,Auto,36,0,None,,0.1322,176.61,0.0103,0,1,5.52
38,2,Master,Single,Own,1.6,Great Plains,1,Part-Time,11.7,SME,Manual,132633.58,50000.0,,50000.0,1,5.1,14923.76,1511.55,15727.52,229621.93,,296869.71,0.0,,,519.0,13,4,103642.13,0.0378,0,0,0,0,0,0.0,2.0,0.0,2,519,178,10,0.1647,28300.0,Education,60,0,None,,0.2134,1031.5,0.0206,0,2,4.99
33,0,No Diploma,Married,Rent,0.5,Great Plains,0,Self-Employed,1.4,Self,Professional,40015.19,50000.0,0.0,50000.0,0,1.4,2348.79,11915.56,0.0,,0.0,14264.35,,,40346.73,445.0,8,4,23951.98,0.4236,1,1,1,0,0,0.0,,0.0,0,553,380,6,0.038,10400.0,Auto,36,0,Savings Account,8850.4,0.2599,1778.58,0.0356,0,4,10.07
44,1,Master,Married,Mortgage,16.6,Northwest,0,Full-Time,1.4,Self,Manual,25853.07,10575.4,2999.5,13574.9,1,0.3,4138.62,4500.66,0.0,,,8639.28,0.0,0.0,0.0,315.0,7,3,23176.06,0.6517,1,1,0,0,0,0.0,0.0,0.0,1,411,287,4,0.1723,11900.0,Debt Consolidation,24,0,None,0.0,0.4603,558.41,0.0411,0,3,6.77
56,1,PhD,Divorced,Mortgage,8.1,Southeast,0,Unemployed,8.6,Corporate,Manual,107202.67,23980.02,0.0,23980.02,1,2.7,30988.82,3846.77,22299.49,156662.89,,220187.99,23345.83,0.0,,373.0,7,2,28328.07,0.1156,0,0,0,0,0,0.0,1.0,1.0,4,375,221,7,0.0998,26100.0,Personal,36,1,Vehicle,,0.2435,567.58,0.0237,1,2,8.26
33,2,Bachelor,Married,Mortgage,7.3,Pacific Coast,0,Part-Time,5.9,SME,Service,264048.88,50000.0,0.0,50000.0,0,3.4,7590.44,5584.9,0.0,137357.51,,154897.72,0.0,0.0,,224.0,6,3,131767.06,0.131,0,0,0,0,0,0.0,0.0,3.0,5,224,217,2,0.1461,37700.0,Debt Consolidation,12,0,Other,,0.1428,499.33,0.01,1,0,6.51
41,0,HS Diploma,Married,Mortgage,4.4,Southeast,0,Self-Employed,0.4,Self,Service,35198.79,35850.56,0.0,35850.56,0,0.4,6594.85,1966.66,,100301.26,,128827.97,,6332.33,,383.0,7,2,37041.52,,1,0,0,0,0,0.0,0.0,1.0,1,457,344,6,0.3097,11800.0,Debt Consolidation,48,0,Property,12118.01,0.3352,1412.55,0.0394,1,2,4.99
44,0,Master,Married,Rent,0.1,Mountain West,0,Full-Time,12.3,Corporate,Manual,26010.82,18853.36,297.44,19150.8,0,6.2,12430.01,2823.63,,,11945.11,27198.75,,0.0,17887.79,494.0,7,1,16099.52,0.414,1,0,0,0,0,0.0,1.0,,6,564,381,7,0.1762,26300.0,Business,36,0,Savings Account,19084.78,1.0111,351.38,0.0183,0,2,7.36
39,0,Master,Divorced,Mortgage,1.3,Southeast,0,Part-Time,28.8,Self,Management,36263.85,19503.34,,20889.51,0,11.4,3431.18,864.71,,0.0,0.0,4295.89,,,,396.0,11,3,200000.0,0.5221,1,1,0,0,0,0.0,0.0,2.0,4,396,234,4,0.1188,6400.0,Personal,24,0,None,,0.1765,240.54,0.0115,1,3,4.99
54,2,Bachelor,Married,Rent,2.6,Alaska/Hawaii,1,Part-Time,7.3,Corporate,Technical,91688.96,10380.49,,10380.49,1,3.0,74097.51,1458.27,25114.6,,80000.0,180670.38,,,,552.0,8,2,103972.31,0.1011,0,0,0,0,0,0.0,0.0,2.0,4,552,349,6,0.1926,58700.0,Home Improvement,48,0,Other,159952.48,0.6402,1030.05,0.0992,0,2,6.67
46,0,HS Diploma,Single,Rent,3.2,Southwest,0,Part-Time,8.0,Government,Professional,54793.49,14694.73,0.0,14694.73,1,3.6,9219.03,4648.12,5683.31,,,64284.04,,13595.46,,276.0,7,2,34844.38,0.4753,0,0,0,0,0,0.0,0.0,3.0,3,444,277,6,0.2638,32600.0,Business,36,0,None,,0.595,1153.61,0.0785,1,2,5.03
28,5,Some College,Married,Own,2.7,Midwest,2,Full-Time,6.2,SME,Management,31366.35,7126.27,,7776.95,1,3.5,20813.64,3511.46,,305277.59,21270.8,350873.49,0.0,11474.75,,21.0,6,2,28517.45,0.4808,0,0,0,0,0,0.0,1.0,0.0,1,32,19,4,0.4307,26100.0,Business,48,0,None,,0.8321,2061.45,0.2651,1,3,4.99
69,1,HS Diploma,Single,Rent,16.9,Pacific Coast,1,Self-Employed,7.2,SME,Professional,102072.96,37910.93,0.0,37910.93,1,5.4,29239.99,1293.26,,,0.0,361127.69,0.0,,,364.0,3,2,14321.38,0.0846,0,0,0,0,0,0.0,,4.0,6,580,388,3,0.066,8600.0,Other,48,0,Vehicle,0.0,0.0843,389.3,0.0103,1,2,7.62
46,2,Master,Married,Mortgage,8.7,Alaska/Hawaii,0,Full-Time,11.8,Corporate,Sales,152972.5,22493.42,0.0,22493.42,1,5.0,21133.66,4322.32,206825.08,231823.74,,471181.58,0.0,0.0,,33.0,5,1,37693.5,0.2684,0,0,0,0,0,0.0,0.0,2.0,3,59,26,5,0.3367,36000.0,Education,36,0,Vehicle,11011.61,0.2353,738.14,0.0328,1,0,6.19
32,0,Bachelor,Married,Rent,1.1,Midwest,0,Self-Employed,4.3,Non-Profit,Service,102498.06,50000.0,0.0,50000.0,1,1.9,2969.88,10290.89,0.0,0.0,21172.87,34433.64,,3612.85,,189.0,5,3,12052.4,0.2316,0,0,0,0,0,0.0,0.0,0.0,0,362,277,4,0.2478,11000.0,Auto,12,0,None,0.0,0.1073,266.59,0.0053,0,1,4.99
56,1,Master,Married,Mortgage,3.9,Great Plains,1,Full-Time,6.2,Government,Technical,183355.51,41728.85,,41728.85,1,1.6,67428.0,23316.41,,,,330088.28,0.0,0.0,,584.0,12,5,103229.1,0.4009,0,0,0,1,0,0.0,0.0,0.0,1,584,361,9,0.0396,38100.0,Debt Consolidation,60,0,Vehicle,4364.97,0.2078,2904.64,0.0696,0,2,5.42
44,0,Some College,Married,Rent,2.2,Pacific Coast,0,Full-Time,13.0,Corporate,Technical,38137.49,31777.55,1304.79,33082.34,0,7.3,1640.06,1083.98,,,,52899.8,,0.0,0.0,220.0,4,3,4757.96,0.2233,0,0,0,0,0,0.0,0.0,0.0,0,378,204,4,0.3169,14600.0,Auto,48,0,None,,0.3828,782.36,0.0236,1,1,4.99
29,1,Master,Single,Rent,1.5,Midwest,1,Retired,4.1,SME,Technical,117544.19,49556.7,1684.16,51240.86,1,0.8,23384.72,2623.32,,,30626.99,340455.8,,0.0,0.0,42.0,7,3,33546.76,0.4671,0,0,0,0,0,0.0,1.0,3.0,6,42,21,5,0.1764,18900.0,Home Improvement,48,1,None,,0.1608,2006.29,0.0392,0,2,4.99
28,1,Some College,Married,Mortgage,0.5,Southeast,0,Retired,1.6,Corporate,Management,25851.74,13733.83,4084.04,17817.87,1,0.8,2723.21,733.58,,0.0,0.0,3456.79,145521.37,0.0,11534.89,414.0,12,6,14710.91,0.0527,0,0,0,0,0,0.0,0.0,0.0,2,414,199,9,0.2025,4400.0,Auto,36,0,Property,0.0,0.1702,269.58,0.0151,0,2,8.24
41,4,Some College,Single,Mortgage,6.4,Great Plains,1,Part-Time,12.0,Corporate,Professional,52988.59,16188.19,0.0,16188.19,1,4.9,6616.91,9983.97,12002.61,,32991.49,217340.0,0.0,,15189.5,181.0,8,1,164573.42,0.5528,1,1,1,1,0,0.0,0.0,1.0,5,181,98,5,0.5526,12800.0,Business,24,0,Property,,0.2416,1303.62,0.0805,0,4,14.66
47,1,Bachelor,Single,Mortgage,25.3,Southwest,1,Full-Time,10.0,Self,Sales,31334.03,12546.98,0.0,12546.98,1,5.2,2484.93,6259.6,,0.0,14605.33,23349.86,,0.0,,219.0,6,1,55631.69,0.4548,0,0,0,0,0,1.0,2.0,1.0,2,298,164,5,0.2354,3600.0,Auto,36,0,Savings Account,21850.39,0.1149,144.45,0.0115,0,3,5.55
40,0,HS Diploma,Married,Rent,1.0,Pacific Coast,0,Full-Time,4.0,Self,Professional,47715.71,11551.76,0.0,11551.76,1,3.8,8932.48,2857.21,15420.92,,10199.42,37410.03,,,0.0,469.0,10,4,168642.75,0.4109,1,1,0,0,0,0.0,0.0,1.0,1,504,332,4,0.3764,10100.0,Other,84,0,Savings Account,,0.2117,1193.39,0.1033,0,3,4.99
46,0,HS Diploma,Married,Living with Family,6.4,Mountain West,0,Unemployed,1.8,Corporate,Service,20485.93,7369.78,,7369.78,1,1.3,3611.61,3278.45,7260.42,,22725.68,36876.16,,,,403.0,11,6,13684.92,0.2673,2,2,1,0,0,0.0,0.0,1.0,3,411,290,9,0.1891,17500.0,Medical,36,0,None,0.0,0.8542,1151.29,0.1562,0,4,7.38
30,2,Bachelor,Married,Rent,13.3,Alaska/Hawaii,2,Retired,7.4,Self,Management,43991.01,50000.0,,50000.0,1,3.5,3663.83,4347.45,,,23189.77,31201.05,,0.0,,78.0,6,6,8603.56,0.412,0,0,0,0,0,1.0,0.0,0.0,2,78,36,2,0.2566,9000.0,Debt Consolidation,60,0,None,,0.2046,223.86,0.0045,0,3,5.33
